season,week,home_team,away_team,has_odds,provider_count,providers
2025,1,Norfolk State,Towson,True,1,ESPN Bet
2025,1,San Diego State,Stony Brook,True,2,"Bovada,ESPN Bet"
2025,1,Central Washington,Colorado Mesa,False,0,
2025,1,South Florida,Boise State,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Bowling Green,Lafayette,True,2,"Bovada,ESPN Bet"
2025,1,Clarion,Wheeling,False,0,
2025,1,Indiana State,McKendree,False,0,
2025,1,Marian College,Indianapolis,False,0,
2025,1,Michigan Tech,Bemidji State,False,0,
2025,1,Rutgers,Ohio,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Saginaw Valley State,Northeastern State,False,0,
2025,1,Youngstown State,Mercyhurst,True,1,ESPN Bet
2025,1,Akron,Wyoming,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Delaware,Delaware State,True,2,"Bovada,ESPN Bet"
2025,1,Delta State,Central Missouri,False,0,
2025,1,Drake,Upper Iowa University,False,0,
2025,1,Eastern Illinois,Dayton,True,1,ESPN Bet
2025,1,Ferris State,Pittsburg St,False,0,
2025,1,Minnesota State Mankato,Northwest Missouri St,False,0,
2025,1,NC State,East Carolina,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Northern Michigan,Minnesota State Moorhead,False,0,
2025,1,Seton Hill,Fairmont State,False,0,
2025,1,St. Thomas (MN),Lindenwood,True,1,ESPN Bet
2025,1,UCF,Jacksonville State,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,UL Monroe,St. Francis (PA),True,2,"Bovada,ESPN Bet"
2025,1,University Of Charleston (WV),Livingstone,False,0,
2025,1,Walsh,West Liberty,False,0,
2025,1,Wayne State (NE),Nebraska-Kearney,False,0,
2025,1,Wilson,Virginia St,False,0,
2025,1,East Stroudsburg University,Edinboro University,False,0,
2025,1,Duke,Elon,True,2,"Bovada,ESPN Bet"
2025,1,Missouri,Central Arkansas,True,2,"Bovada,ESPN Bet"
2025,1,Oklahoma State,UT Martin,True,2,"Bovada,ESPN Bet"
2025,1,Quincy,Concordia University St Paul,False,0,
2025,1,Samford,West Georgia,True,1,ESPN Bet
2025,1,University of Mary,Midland Lutheran College,False,0,
2025,1,Black Hills State,Sioux Falls,False,0,
2025,1,CSU Pueblo,South Dakota Mines,False,0,
2025,1,Eastern New Mexico,New Mexico Highlands,False,0,
2025,1,Emporia State University,Minot State,False,0,
2025,1,Fort Hays State,Angelo State,False,0,
2025,1,Houston,Stephen F. Austin,True,2,"Bovada,ESPN Bet"
2025,1,Minnesota,Buffalo,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Northwestern State,Alcorn State,True,1,ESPN Bet
2025,1,Western Colorado,West Texas A&M,False,0,
2025,1,Winona State,Minnesota Duluth,False,0,
2025,1,UAB,Alabama State,True,2,"Bovada,ESPN Bet"
2025,1,Cincinnati,Nebraska,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Wisconsin,Miami (OH),True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Army,Tarleton State,True,2,"Bovada,ESPN Bet"
2025,1,Rhode Island,Campbell,False,0,
2025,1,Charlotte,App State,True,3,"Bovada,DraftKings,ESPN Bet"
