season,week,home_team,away_team,market,side,provider,price_american,line,model_prob,implied_prob,edge,kelly_f,stake,start_iso,display_date,result_txt
2025,11,Penn State,Indiana,ML,Home,Hard Rock Bet,475,,0.905,0.1739,4.2036,0.025,12.5,2025-11-08T17:00:00Z,2025-11-08,—
2025,11,Oregon State,Sam Houston,ML,Away,FanDuel,800,,0.4731,0.1111,3.2579,0.025,12.5,2025-11-09T03:00:00Z,2025-11-09,—
2025,11,Wisconsin,Washington,ML,Home,Hard Rock Bet,400,,0.6747,0.2,2.3734,0.025,12.5,2025-11-08T21:30:00Z,2025-11-08,—
2025,11,South Florida,UTSA,ML,Away,FanDuel,450,,0.5428,0.1818,1.9853,0.025,12.5,2025-11-07T00:30:00Z,2025-11-07,—
2025,11,Arkansas State,Southern Miss,ML,Home,Betway,185,,0.9578,0.3509,1.7298,0.1,50.0,2025-11-08T17:00:00Z,2025-11-08,—
2025,11,Marshall,James Madison,ML,Home,DraftKings,390,,0.5175,0.2041,1.5357,0.025,12.5,2025-11-08T17:00:00Z,2025-11-08,—
2025,11,New Mexico State,Kennesaw State,ML,Home,FanDuel,240,,0.7265,0.2941,1.47,0.1,50.0,2025-11-08T21:00:00Z,2025-11-08,—
2025,11,Vanderbilt,Auburn,ML,Away,Hard Rock Bet,250,,0.6014,0.2857,1.105,0.1,50.0,2025-11-08T21:00:00Z,2025-11-08,—
2025,11,Delaware,Louisiana Tech,ML,Home,Betway,185,,0.6919,0.3509,0.9718,0.1,50.0,2025-11-08T20:00:00Z,2025-11-08,—
2025,11,East Carolina,Charlotte,Spread,Home,FanDuel,-110,-28.5,1.0,0.5238,0.9091,0.1,50.0,2025-11-08T20:00:00Z,2025-11-08,—
2025,11,Miami,Syracuse,Spread,Home,FanDuel,-110,-28.5,1.0,0.5238,0.9091,0.1,50.0,2025-11-08T20:30:00Z,2025-11-08,—
2025,11,Notre Dame,Navy,Spread,Home,DraftKings,-110,-25.5,1.0,0.5238,0.9091,0.1,50.0,2025-11-09T00:30:00Z,2025-11-09,—
2025,11,Louisville,California,Spread,Home,FanDuel,-110,-19.5,0.9999,0.5238,0.909,0.1,50.0,2025-11-09T00:00:00Z,2025-11-09,—
2025,11,Utah State,Nevada,Spread,Home,FanDuel,-110,-10.5,0.9999,0.5238,0.909,0.1,50.0,2025-11-09T00:30:00Z,2025-11-09,—
2025,11,Alabama,LSU,Spread,Home,DraftKings,-110,-10.5,0.9998,0.5238,0.9088,0.1,50.0,2025-11-09T00:30:00Z,2025-11-09,—
2025,11,Army,Temple,Spread,Home,DraftKings,-110,-7.0,0.9998,0.5238,0.9088,0.1,50.0,2025-11-08T17:00:00Z,2025-11-08,—
2025,11,Toledo,Northern Illinois,Spread,Home,1xBet,-110,-14.5,0.9998,0.5238,0.9087,0.1,50.0,2025-11-06T00:00:00Z,2025-11-06,—
2025,11,Liberty,Missouri State,Spread,Home,DraftKings,-110,-7.5,0.9997,0.5238,0.9086,0.1,50.0,2025-11-08T18:00:00Z,2025-11-08,—
2025,11,Oregon State,Sam Houston,Spread,Home,DraftKings,-110,-19.5,0.9997,0.5238,0.9086,0.1,50.0,2025-11-09T03:00:00Z,2025-11-09,—
2025,11,Ball State,Kent State,Spread,Home,FanDuel,-110,-2.5,0.9997,0.5238,0.9084,0.1,50.0,2025-11-06T00:00:00Z,2025-11-06,—
2025,11,Arizona,Kansas,Spread,Home,Bovada,-110,-6.0,0.9996,0.5238,0.9083,0.1,50.0,2025-11-08T20:30:00Z,2025-11-08,—
2025,11,Coastal Carolina,Georgia State,Spread,Home,DraftKings,-110,-7.5,0.9996,0.5238,0.9083,0.1,50.0,2025-11-08T21:00:00Z,2025-11-08,—
2025,11,USC,Northwestern,Spread,Home,BoyleSports,-110,-15.5,0.9995,0.5238,0.9082,0.1,50.0,2025-11-08T02:00:00Z,2025-11-08,—
2025,11,TCU,Iowa State,Spread,Home,DraftKings,-110,-6.5,0.9995,0.5238,0.9081,0.1,50.0,2025-11-08T20:30:00Z,2025-11-08,—
2025,11,West Virginia,Colorado,Spread,Home,FanDuel,-110,-6.5,0.9995,0.5238,0.9081,0.1,50.0,2025-11-08T17:00:00Z,2025-11-08,—
2025,11,Texas Tech,BYU,Spread,Home,FanDuel,-110,-10.5,0.9994,0.5238,0.9079,0.1,50.0,2025-11-08T17:00:00Z,2025-11-08,—
2025,11,Akron,Massachusetts,Spread,Home,ESPN BET,-110,-11.5,0.9991,0.5238,0.9073,0.1,50.0,2025-11-05T00:00:00Z,2025-11-05,—
2025,11,App State,Georgia Southern,Spread,Home,1xBet,-110,-6.5,0.999,0.5238,0.9072,0.1,50.0,2025-11-07T00:30:00Z,2025-11-07,—
2025,11,Clemson,Florida State,Spread,Home,DraftKings,-110,-2.5,0.9986,0.5238,0.9065,0.1,50.0,2025-11-09T00:00:00Z,2025-11-09,—
2025,11,North Carolina,Stanford,Spread,Home,1xBet,-110,-9.5,0.9984,0.5238,0.9061,0.1,50.0,2025-11-08T21:30:00Z,2025-11-08,—
2025,11,Florida Atlantic,Tulsa,Spread,Home,Fliff,-110,-4.5,0.9981,0.5238,0.9055,0.1,50.0,2025-11-08T20:00:00Z,2025-11-08,—
2025,11,Arkansas State,Southern Miss,Spread,Home,DraftKings,-110,5.5,0.9979,0.5238,0.9051,0.1,50.0,2025-11-08T17:00:00Z,2025-11-08,—
2025,11,South Florida,UTSA,Spread,Home,BoyleSports,-110,-14.5,0.9977,0.5238,0.9046,0.1,50.0,2025-11-07T00:30:00Z,2025-11-07,—
2025,11,Eastern Michigan,Bowling Green,Spread,Home,FanDuel,-110,-2.5,0.9973,0.5238,0.9039,0.1,50.0,2025-11-08T18:00:00Z,2025-11-08,—
2025,11,Memphis,Tulane,Spread,Home,DraftKings,-110,-6.5,0.9967,0.5238,0.9028,0.1,50.0,2025-11-08T02:00:00Z,2025-11-08,—
2025,11,Middle Tennessee,Florida International,Spread,Home,Betsson,-110,-1.5,0.9963,0.5238,0.902,0.1,50.0,2025-11-08T20:00:00Z,2025-11-08,—
2025,11,UCF,Houston,Spread,Home,DraftKings,-110,-1.5,0.9947,0.5238,0.899,0.1,50.0,2025-11-08T01:00:00Z,2025-11-08,—
2025,11,UCLA,Nebraska,Spread,Home,1xBet,-110,-3.5,0.9924,0.5238,0.8946,0.1,50.0,2025-11-09T02:00:00Z,2025-11-09,—
2025,11,Virginia,Wake Forest,Spread,Home,BetUS,-110,-7.0,0.9911,0.5238,0.892,0.1,50.0,2025-11-09T00:00:00Z,2025-11-09,—
2025,11,Rice,UAB,Spread,Home,GTbets,-110,-3.0,0.9857,0.5238,0.8818,0.1,50.0,2025-11-08T19:00:00Z,2025-11-08,—
2025,11,Vanderbilt,Auburn,Spread,Home,FanDuel,-110,-7.5,0.9839,0.5238,0.8784,0.1,50.0,2025-11-08T21:00:00Z,2025-11-08,—
2025,11,Kentucky,Florida,Spread,Home,LowVig.ag,-110,3.0,0.9829,0.5238,0.8765,0.1,50.0,2025-11-09T00:30:00Z,2025-11-09,—
