season,week,start_date,home_team,away_team,venue,conference_game
2025,1,2025-08-23 16:00:00+00:00,Kansas State,Iowa State,Aviva Stadium,True
2025,1,2025-08-23 17:00:00+00:00,Nicholls,Incarnate Word,Manning Field at John L. Guidry Stadium,True
2025,1,2025-08-23 20:00:00+00:00,UNLV,Idaho State,Allegiant Stadium,False
2025,1,2025-08-23 20:30:00+00:00,Portland State,Tarleton State,Hillsboro Stadium,False
2025,1,2025-08-23 22:30:00+00:00,Kansas,Fresno State,Memorial Stadium,False
2025,1,2025-08-23 23:00:00+00:00,Western Kentucky,Sam Houston,Houchens Industries-L.T. Smith Stadium,True
2025,1,2025-08-23 23:00:00+00:00,Mercer,UC Davis,Cramton Bowl,False
2025,1,2025-08-23 23:30:00+00:00,Southern,North Carolina Central,Center Parc Stadium,False
2025,1,2025-08-23 23:30:00+00:00,Hawai'i,Stanford,Clarence T.C. Ching Athletics Complex,False
2025,1,2025-08-28 04:00:00+00:00,Norfolk State,Towson,"William Dick"""" Price Stadium""""",False
2025,1,2025-08-28 04:00:00+00:00,San Diego State,Stony Brook,Snapdragon Stadium,False
2025,1,2025-08-28 19:00:00+00:00,Central Washington,Colorado Mesa,Tomlinson Stadium,False
2025,1,2025-08-28 21:30:00+00:00,South Florida,Boise State,Raymond James Stadium,False
2025,1,2025-08-28 22:00:00+00:00,Clarion,Wheeling,"Memorial Stadium (Clarion, PA)",False
2025,1,2025-08-28 22:00:00+00:00,Rutgers,Ohio,SHI Stadium,False
2025,1,2025-08-28 22:00:00+00:00,Youngstown State,Mercyhurst,Stambaugh Stadium,False
2025,1,2025-08-28 22:00:00+00:00,Saginaw Valley State,Northeastern State,Harvey Randall Wickes Memorial Stadium,False
2025,1,2025-08-28 22:00:00+00:00,Michigan Tech,Bemidji State,Sherman Field,False
2025,1,2025-08-28 22:00:00+00:00,Bowling Green,Lafayette,Doyt L. Perry Stadium,False
2025,1,2025-08-28 22:00:00+00:00,Marian College,Indianapolis,St. Vincent Health Field,False
2025,1,2025-08-28 22:00:00+00:00,Indiana State,McKendree,Memorial Stadium,False
2025,1,2025-08-28 23:00:00+00:00,UL Monroe,St. Francis (PA),Malone Stadium,False
2025,1,2025-08-28 23:00:00+00:00,Akron,Wyoming,InfoCision Stadium,False
2025,1,2025-08-28 23:00:00+00:00,St. Thomas (MN),Lindenwood,O'Shaughnessy Stadium,False
2025,1,2025-08-28 23:00:00+00:00,Eastern Illinois,Dayton,O'Brien Stadium,False
2025,1,2025-08-28 23:00:00+00:00,Drake,Upper Iowa University,Drake Stadium,False
2025,1,2025-08-28 23:00:00+00:00,Delta State,Central Missouri,Parker Field at McCool Stadium,False
2025,1,2025-08-28 23:00:00+00:00,Northern Michigan,Minnesota State Moorhead,Superior Dome,False
2025,1,2025-08-28 23:00:00+00:00,Walsh,West Liberty,Tom Benson Hall of Fame Stadium,False
2025,1,2025-08-28 23:00:00+00:00,Wilson,Virginia St,Electric Supply Company Field,False
2025,1,2025-08-28 23:00:00+00:00,NC State,East Carolina,Carter-Finley Stadium,False
2025,1,2025-08-28 23:00:00+00:00,UCF,Jacksonville State,FBC Mortgage Stadium,False
2025,1,2025-08-28 23:00:00+00:00,University Of Charleston (WV),Livingstone,University of Charleston Stadium,False
2025,1,2025-08-28 23:00:00+00:00,Delaware,Delaware State,Delaware Stadium,False
2025,1,2025-08-28 23:00:00+00:00,Seton Hill,Fairmont State,Offutt Field,False
2025,1,2025-08-28 23:00:00+00:00,Ferris State,Pittsburg St,Top Taggart Field,False
2025,1,2025-08-28 23:00:00+00:00,Minnesota State Mankato,Northwest Missouri St,Blakeslee Stadium,False
2025,1,2025-08-28 23:00:00+00:00,Wayne State (NE),Nebraska-Kearney,"Memorial Stadium (Wayne, NE)",False
2025,1,2025-08-28 23:05:00+00:00,East Stroudsburg University,Edinboro University,Eiler-Martin Stadium,True
2025,1,2025-08-28 23:30:00+00:00,University of Mary,Midland Lutheran College,MDU Resources Community Bowl,False
2025,1,2025-08-28 23:30:00+00:00,Samford,West Georgia,Seibert Stadium,False
